symptoms,doctor_specialty
"swelling after exposure, hives",Allergist/Immunologist
"hoarseness, fatigue",ENT Specialist
"chills, sore throat",General Physician
"itching, redness",Dermatologist
"chest tightness, recurrent lung infections, persistent cough, shortness of breath",Pulmonologist
"body ache, fever, chills",General Physician
fever,General Physician
"chest tightness, wheezing, shortness of breath, persistent cough",Pulmonologist
nausea,General Physician
"itchy eyes, swelling after exposure, hives, fatigue, runny nose",Allergist/Immunologist
"shortness of breath, fainting, palpitations",Cardiologist
"bone pain, swelling, back pain, chest pain",Orthopedist
"body ache, mild headache",General Physician
"sore throat, nausea",General Physician
"nausea, runny nose",General Physician
"weight gain, runny nose",ENT Specialist
"acne, itching, blisters, redness, hives",Dermatologist
"weight gain, constipation, diarrhea, heartburn",Gastroenterologist
headache,General Physician
"body ache, headache, loss of appetite",General Physician
"fatigue, headache",ENT Specialist
itchy eyes,Allergist/Immunologist
"swelling of legs, sweating, palpitations",Cardiologist
seizures,Neurologist
"loss of consciousness, headache",Neurologist
"radiating arm pain, shortness of breath, sweating, palpitations, fainting",Cardiologist
"heavy bleeding, vaginal discharge",Gynecologist
"shortness of breath, palpitations, swelling of legs",Cardiologist
"pelvic pain, menstrual cramps, irregular periods, heavy bleeding",Gynecologist
"loss of consciousness, weakness, dizziness, heavy bleeding",Neurologist
"acne, hives, skin rash",Dermatologist
"headache, sore throat, weight gain",ENT Specialist
"runny nose, hoarseness",ENT Specialist
"hair loss, acne",Dermatologist
"sore throat, fatigue, runny nose",General Physician
"fainting, chest pain, radiating arm pain, shortness of breath, eye pain",Cardiologist
"weight gain, heat intolerance, cold intolerance",Endocrinologist
"memory loss, numbness, headache, blurred vision",Neurologist
"diarrhea, bloating, heartburn",Gastroenterologist
"wheezing, coughing blood, persistent cough",Pulmonologist
"sore throat, headache",General Physician
"dizziness, fever",Neurologist
"swelling of feet, blood in urine",Nephrologist
"weight gain, wheezing",Pulmonologist
"hoarseness, tinnitus, panic attacks",ENT Specialist
"wheezing, persistent cough, coughing blood",Pulmonologist
"chest pain, palpitations, vomiting",Cardiologist
"eye discharge, floaters, sudden vision loss",Ophthalmologist
"cough, fatigue, runny nose, recurrent lung infections",General Physician
"blurred vision, eye discharge, fever, floaters",Ophthalmologist
"wheezing, fatigue, sneezing, hives",Allergist/Immunologist
"dry skin, blisters",Dermatologist
"swelling, stiffness, bone pain",Orthopedist
"dry skin, acne",Dermatologist
limited range of motion,Orthopedist
"headache, blood in stool",Gastroenterologist
"slurred speech, memory loss, seizures",Neurologist
"acne, blisters, redness",Dermatologist
"dry skin, itching",Dermatologist
"acne, dry skin, skin rash",Dermatologist
"abdominal pain, vomiting, bloating",Gastroenterologist
"hearing loss, sore throat, tinnitus",ENT Specialist
"sneezing, wheezing",Allergist/Immunologist
"sore throat, nasal congestion, hearing loss, runny nose, weight gain",ENT Specialist
"numbness, weakness, memory loss, headache",Neurologist
chills,General Physician
"itching, hives, scaly patches",Dermatologist
"cough, sore throat",General Physician
"blood in stool, headache",Gastroenterologist
"weight gain, nasal congestion",ENT Specialist
"hives, wheezing",Allergist/Immunologist
"itchy eyes, wheezing, runny nose, swelling after exposure",Allergist/Immunologist
"scaly patches, redness, acne",Dermatologist
"cough, loss of appetite",General Physician
"swelling after exposure, hives, sneezing",Allergist/Immunologist
"menstrual cramps, heavy bleeding, breast lump, painful periods, pelvic pain",Gynecologist
"blisters, hair loss, acne",Dermatologist
"tinnitus, hearing loss, headache, hoarseness, ear pain",ENT Specialist
"fatigue, sore throat, tinnitus",ENT Specialist
"watering eyes, fever, floaters, headache",Ophthalmologist
"abdominal pain, nausea, diarrhea, shortness of breath",Gastroenterologist
"fatigue, sore throat",General Physician
"hallucinations, suicidal thoughts, fever",Psychiatrist
"loss of appetite, headache",General Physician
"fever, loss of appetite",General Physician
"loss of consciousness, weakness, slurred speech, dizziness",Neurologist
"weight gain, chest tightness, shortness of breath, blisters",Pulmonologist
"cold, sore throat, fever",General Physician
nausea,Gastroenterologist
"sneezing, itchy eyes, runny nose",Allergist/Immunologist
"memory loss, numbness",Neurologist
"eye pain, eye discharge",Ophthalmologist
"difficulty passing urine, lower abdominal pain, frequent urination, fever",Urologist
"weakness, numbness",Neurologist
wheezing,Pulmonologist
"fatigue, sore throat",General Physician
"heavy bleeding, painful periods, menstrual cramps, breast lump",Gynecologist
"swelling of legs, radiating arm pain, palpitations, fainting, high blood pressure",Cardiologist
"fever, runny nose, body ache",General Physician
"sneezing, itchy eyes",Allergist/Immunologist
"stiffness, joint pain, back pain, swelling",Orthopedist
headache,General Physician
"radiating arm pain, palpitations",Cardiologist
"ear pain, headache",ENT Specialist
"hoarseness, runny nose",ENT Specialist
hallucinations,Psychiatrist
"tinnitus, fatigue, nasal congestion, headache, weight gain",ENT Specialist
"chills, sore throat",General Physician
"vomiting, constipation, heartburn, nausea",Gastroenterologist
"cold, loss of appetite, fatigue",General Physician
"high blood pressure, fainting, palpitations, sweating",Cardiologist
"nasal congestion, ear pain, tinnitus, hearing loss",ENT Specialist
redness,Dermatologist
"bone pain, muscle weakness, limited range of motion, swelling, back pain",Orthopedist
"fever, seizures, numbness",Neurologist
"fever, burning urination",Urologist
"headache, heartburn, weight gain",Gastroenterologist
"hoarseness, tinnitus",ENT Specialist
"scaly patches, dry skin, itching, hives",Dermatologist
"runny nose, sore throat, cold",General Physician
"heavy bleeding, vaginal discharge, irregular periods",Gynecologist
"runny nose, nausea, loss of appetite, headache, palpitations",General Physician
"heartburn, weight gain",Gastroenterologist
"loss of consciousness, numbness, dizziness, slurred speech",Neurologist
"cold, loss of appetite",General Physician
"headache, fatigue",ENT Specialist
"tinnitus, sore throat, weight gain",ENT Specialist
"redness, dry skin, hives",Dermatologist
"panic attacks, suicidal thoughts, mood swings",Psychiatrist
acne,Dermatologist
excessive thirst,Endocrinologist
"sore throat, body ache, runny nose, headache, mild headache",General Physician
diarrhea,Gastroenterologist
"weakness, headache",Neurologist
"menstrual cramps, vaginal discharge",Gynecologist
"redness, acne",Dermatologist
"loss of appetite, cold, chills",General Physician
"swelling, back pain",Orthopedist
"irregular periods, menstrual cramps, heavy bleeding",Gynecologist
"weight gain, chest tightness",Pulmonologist
"cough, mild headache, fatigue",General Physician
"palpitations, swelling of legs",Cardiologist
"loss of consciousness, slurred speech, itchy eyes",Neurologist
"dry skin, scaly patches, itching, blisters",Dermatologist
"acne, skin rash, redness, itching",Dermatologist
"hoarseness, headache",ENT Specialist
"constipation, abdominal pain, nausea",Gastroenterologist
"numbness, fever, dizziness, weakness",Neurologist
"cold intolerance, frequent urination, fatigue",Endocrinologist
"swelling after exposure, itchy eyes, dizziness",Allergist/Immunologist
"diarrhea, blood in stool, bloating, nausea, headache",Gastroenterologist
"blood in urine, reduced urine output, weight gain",Nephrologist
"bloating, diarrhea",Gastroenterologist
vaginal discharge,Gynecologist
"reduced urine output, high creatinine, foamy urine, weight gain, swelling of feet",Nephrologist
"headache, cold, fever, chills",General Physician
"sore throat, weight gain",ENT Specialist
"headache, body ache, cold, nausea, loss of appetite",General Physician
"fatigue, mild headache, headache",General Physician
"loss of consciousness, seizures, headache",Neurologist
"diarrhea, heartburn",Gastroenterologist
"loss of consciousness, dizziness",Neurologist
"fatigue, body ache",General Physician
"difficulty passing urine, lower abdominal pain, fever, blood in urine",Urologist
"panic attacks, fever, insomnia, depressed mood, suicidal thoughts",Psychiatrist
"chills, body ache, sore throat",General Physician
fever,Neurologist
"fever, headache, cough",General Physician
"high creatinine, foamy urine",Nephrologist
"headache, fever, cough, nausea",General Physician
"vomiting, abdominal pain",Gastroenterologist
"hoarseness, ear pain, sore throat, hearing loss",ENT Specialist
"breast lump, vaginal discharge, irregular periods",Gynecologist
"weight gain, tinnitus",ENT Specialist
"shortness of breath, chest tightness, persistent cough, menstrual cramps",Pulmonologist
"recurrent lung infections, weight gain, shortness of breath, coughing blood, headache",Pulmonologist
"loss of appetite, body ache, cold, cough, fatigue",General Physician
"vomiting, abdominal pain, nausea, bloating, weight gain",Gastroenterologist
"swelling of legs, palpitations, shortness of breath, radiating arm pain, fainting",Cardiologist
"itchy eyes, runny nose",Allergist/Immunologist
mild headache,General Physician
"suicidal thoughts, hallucinations",Psychiatrist
"palpitations, swelling of legs",Cardiologist
stiffness,Orthopedist
"shortness of breath, fainting, high blood pressure",Cardiologist
"hearing loss, weight gain, heartburn",ENT Specialist
"palpitations, shortness of breath",Cardiologist
"persistent cough, weight gain, coughing blood, recurrent lung infections, fever",Pulmonologist
"high blood pressure, swelling of legs, chest pain",Cardiologist
"headache, ear pain",ENT Specialist
"constipation, bloating",Gastroenterologist
"excessive thirst, fatigue, cold intolerance, heat intolerance",Endocrinologist
"cold, headache, loss of appetite",General Physician
"skin rash, acne",Dermatologist
"high creatinine, blood in urine, reduced urine output, foamy urine",Nephrologist
"nausea, loss of appetite",General Physician
"high blood pressure, shortness of breath, swelling of legs",Cardiologist
"heartburn, constipation",Gastroenterologist
"recurrent lung infections, chest tightness, wheezing, persistent cough",Pulmonologist
"loss of appetite, body ache, cough, cold, irregular periods",General Physician
"sore throat, nasal congestion, runny nose",ENT Specialist
"high blood pressure, shortness of breath",Cardiologist
"lower abdominal pain, frequent urination, dizziness",Urologist
"cold, fever, headache, fatigue",General Physician
"anxiety, panic attacks, mood swings",Psychiatrist
"joint pain, stiffness, swelling, weight gain",Orthopedist
"itching, acne, hives, hair loss, dry skin",Dermatologist
"heavy bleeding, pelvic pain, irregular periods",Gynecologist
"headache, runny nose",General Physician
fever,Psychiatrist
"sore throat, chills",General Physician
"chills, fatigue, cough",General Physician
"mild headache, runny nose, fatigue",General Physician
"depressed mood, suicidal thoughts",Psychiatrist
"nausea, headache",General Physician
"red eye, eye pain, eye discharge",Ophthalmologist
"pelvic pain, menstrual cramps",Gynecologist
"fatigue, weight gain, nasal congestion",ENT Specialist
"chest pain, high blood pressure",Cardiologist
"cough, sore throat, runny nose, blood in urine",General Physician
"heat intolerance, frequent urination, weight gain, fatigue, ear pain",Endocrinologist
"fever, red eye, sudden vision loss",Ophthalmologist
swelling of legs,Cardiologist
nausea,General Physician
"body ache, cold, headache",General Physician
"loss of appetite, body ache, sore throat",General Physician
"frequent urination, difficulty passing urine, fever",Urologist
"weakness, slurred speech",Neurologist
"runny nose, wheezing, hives, sneezing",Allergist/Immunologist
"stiffness, swelling",Orthopedist
"nasal congestion, fatigue, weight gain, hoarseness, tinnitus",ENT Specialist
"back pain, bone pain, joint pain",Orthopedist
"frequent urination, difficulty passing urine, dizziness, fever",Urologist
"shortness of breath, chest tightness, persistent cough",Pulmonologist
"high blood pressure, swelling of legs",Cardiologist
"sore throat, nasal congestion",ENT Specialist
"body ache, cold, chills",General Physician
"ear pain, fatigue, penile discharge",ENT Specialist
"itching, scaly patches",Dermatologist
"back pain, limited range of motion, joint pain",Orthopedist
"swelling of legs, radiating arm pain, fainting",Cardiologist
"high blood pressure, sweating, palpitations, radiating arm pain, chest pain",Cardiologist
lower abdominal pain,Urologist
cold,General Physician
"fatigue, excessive thirst",Endocrinologist
"weight gain, chest tightness, coughing blood, dizziness",Pulmonologist
"loss of appetite, chills, headache, body ache, cough",General Physician
"floaters, sudden vision loss, eye pain",Ophthalmologist
"back pain, swelling",Orthopedist
penile discharge,Urologist
"loss of consciousness, slurred speech, dizziness",Neurologist
"painful periods, breast lump",Gynecologist
limited range of motion,Orthopedist
cold,General Physician
"chills, sore throat, loss of appetite",General Physician
"acne, blisters",Dermatologist
"runny nose, mild headache, cold, cough, limited range of motion",General Physician
"muscle weakness, limited range of motion",Orthopedist
"cough, nausea",General Physician
"blood in urine, flank pain, swelling of feet",Nephrologist
"wheezing, recurrent lung infections",Pulmonologist
"shortness of breath, coughing blood, persistent cough, recurrent lung infections",Pulmonologist
"weakness, dizziness, palpitations",Neurologist
"chest tightness, recurrent lung infections, wheezing",Pulmonologist
blood in stool,Gastroenterologist
"bloating, vomiting, constipation",Gastroenterologist
"dry skin, hair loss, acne",Dermatologist
memory loss,Neurologist
fatigue,ENT Specialist
"mild headache, fatigue, cold",General Physician
"headache, cough, chills",General Physician
shortness of breath,Cardiologist
"fever, sudden vision loss, foamy urine",Ophthalmologist
"coughing blood, wheezing, persistent cough",Pulmonologist
"fatigue, runny nose, sneezing",Allergist/Immunologist
"runny nose, headache, itchy eyes",General Physician
"bone pain, muscle weakness, lower abdominal pain",Orthopedist
anxiety,Psychiatrist
"heartburn, diarrhea, bloating, nausea, vomiting",Gastroenterologist
"painful periods, pelvic pain, breast lump",Gynecologist
"recurrent lung infections, weight gain, coughing blood, wheezing",Pulmonologist
"redness, scaly patches, fever",Dermatologist
"fatigue, body ache",General Physician
"menstrual cramps, breast lump, heavy bleeding",Gynecologist
"watering eyes, floaters",Ophthalmologist
"cold, headache, body ache",General Physician
"cough, nausea",General Physician
"watering eyes, fever",Ophthalmologist
"wheezing, runny nose",Allergist/Immunologist
"mild headache, loss of appetite, headache",General Physician
"ear pain, nasal congestion, sore throat, fatigue, hoarseness",ENT Specialist
"nausea, fatigue, chills, cold",General Physician
"dry skin, redness, itching",Dermatologist
"mild headache, fatigue, loss of appetite",General Physician
"floaters, sudden vision loss",Ophthalmologist
"nasal congestion, ear pain, weight gain",ENT Specialist
"suicidal thoughts, panic attacks, fever",Psychiatrist
"blisters, dry skin, hives",Dermatologist
"penile discharge, difficulty passing urine",Urologist
"headache, heartburn, abdominal pain, diarrhea, bloating",Gastroenterologist
"swelling of legs, palpitations, shortness of breath, high blood pressure, fainting, fatigue",Cardiologist
"runny nose, hearing loss, ear pain, tinnitus",ENT Specialist
"fainting, chest pain, sweating, swelling of legs",Cardiologist
"unexplained weight loss, weight gain",Endocrinologist
"stiffness, limited range of motion, back pain",Orthopedist
"dizziness, loss of consciousness, memory loss, weakness",Neurologist
"body ache, cold, sore throat, loss of appetite",General Physician
"shortness of breath, wheezing",Pulmonologist
"heat intolerance, fatigue, weight gain",Endocrinologist
"stiffness, joint pain, heavy bleeding",Orthopedist
menstrual cramps,Gynecologist
penile discharge,Urologist
"weakness, numbness, fever",Neurologist
"runny nose, swelling after exposure",Allergist/Immunologist
"pelvic pain, painful periods",Gynecologist
"chills, fever, cold",General Physician
"fatigue, chills, sore throat, cough, fever",General Physician
"fever, mood swings, itching",Psychiatrist
"scaly patches, acne, itching, hives, dry skin",Dermatologist
"seizures, headache, weakness, fever",Neurologist
"body ache, mild headache, loss of appetite, fever, fatigue",General Physician
"limited range of motion, swelling",Orthopedist
"sneezing, fatigue",Allergist/Immunologist
"chills, runny nose",General Physician
"heavy bleeding, painful periods, pelvic pain, numbness",Gynecologist
"joint pain, stiffness, muscle weakness",Orthopedist
"back pain, swelling, stiffness",Orthopedist
"skin rash, acne, scaly patches, blisters",Dermatologist
"body ache, chills, runny nose",General Physician
"swelling of legs, sweating, high blood pressure",Cardiologist
"nausea, body ache",General Physician
"fainting, radiating arm pain, chest pain, shortness of breath, high blood pressure",Cardiologist
"recurrent lung infections, wheezing, persistent cough, weight gain",Pulmonologist
blisters,Dermatologist
"sweating, swelling of legs",Cardiologist
"fever, chills, nausea",General Physician
"runny nose, cold, body ache",General Physician
"sweating, fainting, palpitations, high blood pressure",Cardiologist
"blood in stool, bloating, abdominal pain",Gastroenterologist
persistent cough,Pulmonologist
"wheezing, recurrent lung infections",Pulmonologist
"fatigue, cough, muscle weakness",General Physician
"muscle weakness, swelling",Orthopedist
"blood in stool, constipation",Gastroenterologist
"weight gain, wheezing",Pulmonologist
"chills, cold, cough",General Physician
"loss of appetite, fatigue, fever",General Physician
"bone pain, joint pain, limited range of motion",Orthopedist
"bone pain, stiffness, joint pain",Orthopedist
"palpitations, sweating, chest pain",Cardiologist
"nausea, cough, mild headache",General Physician
"body ache, mild headache, fever, headache",General Physician
"radiating arm pain, sore throat",Cardiologist
"joint pain, limited range of motion, muscle weakness",Orthopedist
"weight gain, abdominal pain, headache, nausea, blood in stool",Gastroenterologist
"numbness, weakness",Neurologist
"scaly patches, acne, hair loss",Dermatologist
nausea,General Physician
"fever, difficulty passing urine, frequent urination, lower abdominal pain",Urologist
"excessive thirst, frequent urination, weight gain, mood swings",Endocrinologist
"itching, scaly patches, hair loss, recurrent lung infections",Dermatologist
"fatigue, headache",General Physician
"breast lump, heavy bleeding",Gynecologist
"coughing blood, shortness of breath",Pulmonologist
"dry skin, blisters",Dermatologist
painful periods,Gynecologist
"constipation, diarrhea",Gastroenterologist
"vomiting, heartburn, headache",Gastroenterologist
"swelling of legs, chest pain, high blood pressure, heat intolerance",Cardiologist
"recurrent lung infections, wheezing, coughing blood",Pulmonologist
"skin rash, scaly patches, acne, itching, hair loss",Dermatologist
"acne, itching, redness, skin rash",Dermatologist
"runny nose, cold, headache, loss of appetite",General Physician
"acne, dry skin, blisters",Dermatologist
"fatigue, hoarseness, weight gain",ENT Specialist
"redness, blisters, hives",Dermatologist
"weight gain, constipation, abdominal pain, vomiting",Gastroenterologist
"muscle weakness, swelling, joint pain, limited range of motion, bone pain",Orthopedist
"dry skin, hives, itching, redness",Dermatologist
"headache, tinnitus, hearing loss",ENT Specialist
"nausea, abdominal pain, weight gain, diarrhea",Gastroenterologist
"nausea, cough, mild headache",General Physician
"back pain, swelling, mood swings",Orthopedist
"fatigue, tinnitus, sore throat",ENT Specialist
"sore throat, mild headache, loss of appetite",General Physician
"fatigue, sore throat, mild headache, nausea, constipation",General Physician
"headache, loss of appetite",General Physician
"body ache, mild headache",General Physician
"chest tightness, weight gain, wheezing",Pulmonologist
chest tightness,Pulmonologist
"hives, blisters, hair loss, redness",Dermatologist
"chest tightness, weight gain",Pulmonologist
"fever, memory loss, headache, dizziness",Neurologist
"high creatinine, swelling of feet",Nephrologist
"runny nose, fatigue",General Physician
"palpitations, chest pain, high blood pressure",Cardiologist
"fever, loss of consciousness",Neurologist
"itching, skin rash, blisters",Dermatologist
"heat intolerance, frequent urination",Endocrinologist
"blood in stool, vomiting, abdominal pain, heartburn, nausea, itchy eyes",Gastroenterologist
"high blood pressure, chest pain, radiating arm pain",Cardiologist
blood in urine,Urologist
"itchy eyes, swelling after exposure, wheezing, fatigue",Allergist/Immunologist
"heavy bleeding, irregular periods, vaginal discharge",Gynecologist
"bloating, diarrhea, headache",Gastroenterologist
eye discharge,Ophthalmologist
"hearing loss, hoarseness, nasal congestion, tinnitus",ENT Specialist
"headache, body ache",General Physician
"flank pain, reduced urine output, high creatinine",Nephrologist
"loss of consciousness, numbness",Neurologist
"fever, difficulty passing urine",Urologist
"frequent urination, blood in urine",Urologist
"runny nose, headache, hearing loss, tinnitus, fatigue",ENT Specialist
"bloating, abdominal pain, heartburn",Gastroenterologist
"memory loss, fever, loss of consciousness",Neurologist
"mild headache, body ache, fatigue",General Physician
"slurred speech, seizures, loss of consciousness",Neurologist
"abdominal pain, heartburn",Gastroenterologist
"hives, fatigue, cough",Allergist/Immunologist
"runny nose, cold",General Physician
blurred vision,Ophthalmologist
"slurred speech, loss of consciousness, dizziness, fever, headache",Neurologist
"weight gain, vomiting",Gastroenterologist
"fainting, chest pain",Cardiologist
"hoarseness, nasal congestion, hearing loss, runny nose",ENT Specialist
"sneezing, hives, recurrent lung infections",Allergist/Immunologist
coughing blood,Pulmonologist
loss of appetite,General Physician
"fever, floaters",Ophthalmologist
"fatigue, mild headache, body ache, loss of appetite",General Physician
"joint pain, bone pain",Orthopedist
"difficulty passing urine, frequent urination, blood in urine",Urologist
"dizziness, memory loss, loss of consciousness",Neurologist
"pelvic pain, painful periods",Gynecologist
"suicidal thoughts, hallucinations, panic attacks, depressed mood",Psychiatrist
"nausea, runny nose, headache",General Physician
"fatigue, runny nose",ENT Specialist
"swelling, stiffness, muscle weakness, itching",Orthopedist
"blurred vision, eye pain",Ophthalmologist
"frequent urination, burning urination, fever",Urologist
"cold, headache, nausea, chills",General Physician
"painful periods, pelvic pain, vaginal discharge, irregular periods",Gynecologist
"floaters, fever, eye discharge",Ophthalmologist
"loss of appetite, body ache",General Physician
"hives, skin rash",Dermatologist
"blood in urine, difficulty passing urine, high creatinine",Urologist
"tinnitus, hearing loss, sore throat, weight gain",ENT Specialist
"cold, fatigue, headache, runny nose",General Physician
"wheezing, persistent cough",Pulmonologist
"bone pain, muscle weakness, swelling, limited range of motion, hair loss",Orthopedist
sweating,Cardiologist
"watering eyes, sudden vision loss",Ophthalmologist
"skin rash, scaly patches, itching",Dermatologist
"cold, chills, mild headache, cough, fatigue",General Physician
"cough, loss of appetite",General Physician
"itchy eyes, fatigue",Allergist/Immunologist
scaly patches,Dermatologist
"runny nose, nausea, sore throat",General Physician
fatigue,General Physician
"cough, headache",General Physician
"fever, nausea, cold, sore throat",General Physician
"blood in stool, weight gain, heartburn, headache",Gastroenterologist
"shortness of breath, chest pain",Cardiologist
"abdominal pain, weight gain, vomiting, bloating",Gastroenterologist
"palpitations, radiating arm pain, shortness of breath, coughing blood",Cardiologist
"memory loss, numbness",Neurologist
"dizziness, headache, memory loss, slurred speech",Neurologist
"sore throat, chills, cough, mild headache",General Physician
"persistent cough, recurrent lung infections, shortness of breath, panic attacks",Pulmonologist
"skin rash, hair loss",Dermatologist
"sore throat, body ache",General Physician
"redness, scaly patches, shortness of breath",Dermatologist
"fatigue, headache, mild headache",General Physician
"breast lump, vaginal discharge, irregular periods, menstrual cramps",Gynecologist
"mild headache, body ache, nausea",General Physician
"memory loss, numbness",Neurologist
"wheezing, runny nose, fatigue, sneezing",Allergist/Immunologist
"loss of appetite, body ache, fever",General Physician
"burning urination, penile discharge",Urologist
"sore throat, fever, wheezing",General Physician
"coughing blood, recurrent lung infections, wheezing",Pulmonologist
"fever, lower abdominal pain, frequent urination",Urologist
"weight gain, headache, ear pain",ENT Specialist
"muscle weakness, swelling, back pain, bone pain",Orthopedist
"blood in stool, headache, weight gain",Gastroenterologist
"persistent cough, weight gain",Pulmonologist
cold,General Physician
"nausea, loss of appetite",General Physician
"fatigue, loss of appetite",General Physician
"radiating arm pain, fainting, shortness of breath",Cardiologist
insomnia,Psychiatrist
heavy bleeding,Gynecologist
"bone pain, muscle weakness, joint pain",Orthopedist
"recurrent lung infections, wheezing, chest tightness, vaginal discharge",Pulmonologist
"runny nose, fatigue, swelling after exposure",Allergist/Immunologist
"irregular periods, vaginal discharge, painful periods",Gynecologist
"insomnia, suicidal thoughts, hallucinations",Psychiatrist
"headache, heartburn, bloating, vomiting",Gastroenterologist
sore throat,General Physician
coughing blood,Pulmonologist
"headache, vomiting, weight gain, bloating, nausea",Gastroenterologist
"runny nose, cold, loss of appetite",General Physician
radiating arm pain,Cardiologist
"sudden vision loss, red eye, blurred vision",Ophthalmologist
"headache, abdominal pain, weight gain",Gastroenterologist
"swelling after exposure, wheezing",Allergist/Immunologist
"swelling of legs, high blood pressure",Cardiologist
"foamy urine, blood in urine, frequent urination",Nephrologist
"blood in urine, swelling of feet, flank pain",Nephrologist
"sore throat, body ache, nausea",General Physician
"dizziness, blood in urine",Urologist
"seizures, dizziness",Neurologist
"scaly patches, blisters, hair loss",Dermatologist
"sore throat, cold, nausea",General Physician
"suicidal thoughts, fever",Psychiatrist
"coughing blood, wheezing, weight gain",Pulmonologist
"memory loss, loss of consciousness",Neurologist
bone pain,Orthopedist
"hives, acne, dry skin",Dermatologist
"palpitations, swelling of legs",Cardiologist
hearing loss,ENT Specialist
"fever, headache",Neurologist
"blood in stool, vomiting",Gastroenterologist
"tinnitus, nasal congestion",ENT Specialist
"limited range of motion, joint pain",Orthopedist
"runny nose, tinnitus, hearing loss, weight gain",ENT Specialist
"sudden vision loss, floaters, fever, eye pain",Ophthalmologist
"vomiting, nausea, blood in stool",Gastroenterologist
"persistent cough, wheezing, recurrent lung infections",Pulmonologist
"mood swings, depressed mood, hallucinations, suicidal thoughts, anxiety",Psychiatrist
"skin rash, redness, dry skin",Dermatologist
"loss of appetite, nausea, cold",General Physician
"hives, dry skin, acne",Dermatologist
"bone pain, joint pain, limited range of motion",Orthopedist
"cold intolerance, unexplained weight loss, fatigue",Endocrinologist
fatigue,General Physician
"heat intolerance, fatigue, unexplained weight loss",Endocrinologist
"nausea, headache, mild headache, hives",General Physician
"high creatinine, blood in urine, flank pain",Nephrologist
"limited range of motion, back pain, ear pain",Orthopedist
"nausea, diarrhea, heartburn, vomiting",Gastroenterologist
"wheezing, swelling after exposure, sneezing",Allergist/Immunologist
"bone pain, joint pain, swelling",Orthopedist
"diarrhea, blood in stool, nausea, headache",Gastroenterologist
"blurred vision, back pain",Ophthalmologist
sudden vision loss,Ophthalmologist
"radiating arm pain, fainting, sweating",Cardiologist
"nausea, diarrhea, constipation, abdominal pain",Gastroenterologist
"dizziness, frequent urination, lower abdominal pain",Urologist
"blisters, hair loss, dry skin",Dermatologist
"frequent urination, difficulty passing urine",Urologist
"nasal congestion, hearing loss",ENT Specialist
"hives, scaly patches, hair loss, blisters",Dermatologist
"cough, fever, nausea",General Physician
"eye discharge, floaters, red eye",Ophthalmologist
"chest tightness, shortness of breath, wheezing",Pulmonologist
high blood pressure,Cardiologist
"cough, sore throat, body ache, runny nose",General Physician
"blood in urine, weight gain, reduced urine output, foamy urine",Nephrologist
"wheezing, fatigue",Allergist/Immunologist
"swelling, limited range of motion, muscle weakness, bone pain, shortness of breath",Orthopedist
"blisters, hives, hair loss, scaly patches, red eye",Dermatologist
"body ache, headache, runny nose",General Physician
"floaters, blurred vision, fever, eye discharge",Ophthalmologist
"loss of consciousness, weakness, fever",Neurologist
"nausea, fever, chills, body ache",General Physician
"diarrhea, weight gain, headache",Gastroenterologist
"shortness of breath, swelling of legs",Cardiologist
"chills, cold, body ache, fever, mild headache",General Physician
"chest tightness, wheezing",Pulmonologist
"wheezing, persistent cough, shortness of breath",Pulmonologist
"loss of consciousness, weakness, fever",Neurologist
"unexplained weight loss, frequent urination",Endocrinologist
"insomnia, mood swings, fever",Psychiatrist
"constipation, blood in stool",Gastroenterologist
"coughing blood, recurrent lung infections",Pulmonologist
"itching, hives, dry skin, scaly patches",Dermatologist
"sore throat, loss of appetite",General Physician
"hoarseness, headache, ear pain",ENT Specialist
"fatigue, mild headache, loss of appetite, cold",General Physician
"acne, hives, redness",Dermatologist
"burning urination, dizziness",Urologist
sore throat,ENT Specialist
"radiating arm pain, palpitations, high blood pressure",Cardiologist
"itchy eyes, runny nose, swelling after exposure",Allergist/Immunologist
"watering eyes, sudden vision loss, blurred vision",Ophthalmologist
"headache, nausea",Gastroenterologist
"recurrent lung infections, persistent cough",Pulmonologist
"muscle weakness, joint pain, stiffness, back pain, limited range of motion",Orthopedist
"headache, vomiting",Gastroenterologist
"chest tightness, weight gain, wheezing",Pulmonologist
"acne, itching, redness",Dermatologist
"memory loss, weakness",Neurologist
"chills, runny nose, nausea, fever",General Physician
"burning urination, blood in urine, dizziness, penile discharge, difficulty passing urine",Urologist
"abdominal pain, constipation, diarrhea",Gastroenterologist
"depressed mood, hallucinations",Psychiatrist
"body ache, runny nose",General Physician
"dry skin, redness, hives",Dermatologist
"mild headache, fatigue, chills, cough, headache",General Physician
"cold, nausea",General Physician
"persistent cough, shortness of breath",Pulmonologist
"frequent urination, difficulty passing urine",Urologist
"ear pain, weight gain, runny nose, headache",ENT Specialist
"irregular periods, menstrual cramps",Gynecologist
"anxiety, depressed mood, suicidal thoughts",Psychiatrist
wheezing,Allergist/Immunologist
"runny nose, sneezing",Allergist/Immunologist
"fatigue, cough, fever, chills",General Physician
"headache, nausea, heartburn",Gastroenterologist
"nausea, loss of appetite, fever, cough",General Physician
"reduced urine output, swelling of feet",Nephrologist
"palpitations, chest pain, sweating",Cardiologist
"palpitations, swelling of legs, fainting",Cardiologist
"floaters, eye discharge",Ophthalmologist
"itching, acne, hair loss",Dermatologist
"bloating, vomiting, headache, heartburn",Gastroenterologist
